"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",NA,NA,NA,"200 000 Ft/hó",NA,"Dévai utca 19"," XIII. kerület","46 m² terület","1 + 1 fél szoba","12 m² erkély"
"2","Csak szoba",NA,NA,"75 000 Ft/hó",NA,"Albert utca"," XI. kerület","17 m² terület","1 szoba",NA
"3",NA,NA,NA,"70 000 Ft/hó",NA,"Alkotmány út 4-6 1/5"," Mezőkövesd","61 m² terület","2 szoba",NA
"4",NA,NA,NA,"220 000 Ft/hó",NA,"Dóczy József utca"," Debrecen","61 m² terület","2 szoba",NA
"5",NA,NA,NA,"346 893 Ft/hó",NA,"Síp utca"," VII. kerület","132 m² terület","5 szoba",NA
"6",NA,NA,NA,"160 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","60 m² terület","2 szoba",NA
"7",NA,NA,NA,"180 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","65 m² terület","2 szoba","2 m² erkély"
"8",NA,NA,NA,"140 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","50 m² terület","1 + 1 fél szoba",NA
"9",NA,NA,NA,"140 000 Ft/hó",NA,"Aradi vértanúk tere"," Esztergom","60 m² terület","2 + 1 fél szoba","4 m² erkély"
"10",NA,NA,NA,"210 000 Ft/hó",NA,"Nagymező utca"," VI. kerület","60 m² terület","2 szoba",NA
"11",NA,NA,NA,"40 000 Ft/hó",NA,"Havanna utca"," XVIII. kerület","35 m² terület","1 + 1 fél szoba",NA
"12",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Hertelendy Gábor utca, Gyöngyös",NA,NA
"13","Csak szoba",NA,NA,"70 000 Ft/hó",NA,"Hungária körút"," XIV. kerület","18 m² terület","1 szoba",NA
"14",NA,NA,NA,"180 000 Ft/hó",NA,"Esztergom"," Szenttamás","85 m² terület","3 szoba","3 m² erkély"
"15","Új építésű",NA,NA,"160 000 Ft/hó",NA,"Kassák Lajos utca"," XIII. kerület","45 m² terület","1 + 1 fél szoba","4 m² erkély"
"16",NA,NA,NA,"180 000 Ft/hó",NA,"Pusztaszeri út"," II. kerület","63 m² terület","2 szoba","10 m² erkély"
