"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",NA,NA,"185 000 Ft/hó",NA,"Egressy út"," XIV. kerület","42 m² terület","2 szoba",NA
"2","Tulajdonostól!",NA,"170 000 Ft/hó",NA,"Garibaldi utca 5"," V. kerület","28 m² terület","1 szoba",NA
"3","Csak szoba",NA,"40 000 Ft/hó",NA,"Semmelweis utca 11"," V. kerület","44 m² terület","1 szoba",NA
"4","Csak szoba",NA,"50 000 Ft/hó",NA,"Semmelweis utca 13"," V. kerület","20 m² terület","1 szoba",NA
"5","Csak szoba",NA,"40 000 Ft/hó",NA,"Semmelweis utca 11"," V. kerület","20 m² terület","1 szoba",NA
"6","Csak szoba",NA,"65 000 Ft/hó",NA,"Semmelweis utca 11"," V. kerület","18 m² terület","1 szoba",NA
"7",NA,NA,"150 000 Ft/hó",NA,"Raktár utca 12"," III. kerület","45 m² terület","2 szoba",NA
"8",NA,NA,"159 000 Ft/hó",NA,"Gyarmat utca 48"," XIV. kerület","80 m² terület","2 szoba","2 m² erkély"
"9",NA,NA,"149 000 Ft/hó",NA,"Orczy út 46-48"," VIII. kerület","49 m² terület","2 szoba","2 m² erkély"
"10",NA,NA,"600 000 Ft/hó",NA,"Jókai tér"," VI. kerület","100 m² terület","3 szoba",NA
"11","Nagy terasz",NA,"155 000 Ft/hó",NA,"Öv utca 135"," XIV. kerület","46 m² terület","2 szoba","18 m² erkély"
"12",NA,NA,"110 000 Ft/hó",NA,"Középső-Ferencváros - Rehabilitációs terület"," IX. kerület","35 m² terület","1 szoba",NA
"13","Új építésű"," Háziállat megengedett","145 000 Ft/hó",NA,"Öv utca 133"," XIV. kerület","38 m² terület","2 szoba","6 m² erkély"
"14",NA,NA,"145 000 Ft/hó",NA,"Pannónia utca 43"," XIII. kerület","56 m² terület","2 szoba",NA
"15",NA,NA,"135 000 Ft/hó",NA,"Tomori utca"," XIII. kerület","49 m² terület","2 szoba",NA
"16",NA,NA,"155 000 Ft/hó",NA,"Daru utca"," II. kerület","49 m² terület","2 szoba","2 m² erkély"
"17",NA,NA,"149 000 Ft/hó",NA,"Bartl János utca"," XIV. kerület","50 m² terület","2 szoba",NA
"18","Csak szoba",NA,"129 000 Ft/hó",NA,"Népszínház utca 16"," VIII. kerület","22 m² terület","1 szoba",NA
"19",NA,NA,"190 000 Ft/hó",NA,"Hungária körút 103a"," XIV. kerület","45 m² terület","1 szoba",NA
"20","Új építésű",NA,"160 000 Ft/hó",NA,"Pápay István utca 7"," IX. kerület","33 m² terület","1 szoba","8 m² erkély"
"21",NA,NA,"150 000 Ft/hó",NA,"Katona József utca"," XIII. kerület","60 m² terület","2 szoba","5 m² erkély"
"22",NA,NA,"150 000 Ft/hó",NA,"Angol utca 48"," XIV. kerület","48 m² terület","2 szoba","3 m² erkély"
"23",NA,NA,"140 000 Ft/hó",NA,"Pasaréti út 157 B"," II. kerület","40 m² terület","1 + 1 fél szoba","3 m² erkély"
"24",NA,NA,"180 000 Ft/hó",NA,"Csuka utca"," XIII. kerület","59 m² terület","1 + 2 fél szoba","5 m² erkély"
"25","Új építésű",NA,"165 000 Ft/hó",NA,"Szív utca 61"," VI. kerület","48 m² terület","1 szoba",NA
"26",NA,NA,"160 000 Ft/hó",NA,"Bem József tér"," II. kerület","44 m² terület","1 + 1 fél szoba",NA
"27",NA,NA,"140 000 Ft/hó",NA,"Pozsonyi út"," XIII. kerület","32 m² terület","1 szoba",NA
"28","Új építésű"," Tulajdonostól!","550 000 Ft/hó",NA,"Cserhalom utca 5"," XIII. kerület","112 m² terület","4 szoba","83 m² erkély"
"29","Új építésű"," Azonnal költözhető","215 000 Ft/hó",NA,"Tippan utca"," XI. kerület","52 m² terület","2 szoba","5 m² erkély"
"30","Tulajdonostól!",NA,"140 000 Ft/hó",NA,"Róbert Károly körút"," XIII. kerület","37 m² terület","1 + 1 fél szoba",NA
"31","Azonnal költözhető",NA,"230 000 Ft/hó",NA,"Columbus utca 18"," XIV. kerület","100 m² terület","3 + 1 fél szoba","2 m² erkély"
"32","Új építésű"," Háziállat megengedett","185 000 Ft/hó",NA,"Lehel utca"," XIX. kerület","47 m² terület","2 szoba","8 m² erkély"
"33","Rögtön bérbeadó",NA,"1 080 000 Ft/hó",NA,"Andrássy út 41"," VI. kerület","150 m² terület","3 szoba","30 m² erkély"
"34","Tulajdonostól!",NA,"663 100 Ft/hó",NA,"Kútvölgyi út 67"," XII. kerület","110 m² terület","4 szoba","16 m² erkély"
"35","Tulajdonostól!",NA,"499 000 Ft/hó",NA,"Vihorlát utca 38."," II. kerület","95 m² terület","3 szoba","15 m² erkély"
